x,y,u,v,p
0,0,0,0,0.120553
0.03125,0,0,0,0.120553
0.0625,0,0,0,0.119338
0.09375,0,0,0,0.116922
0.125,0,0,0,0.113334
0.15625,0,0,0,0.108615
0.1875,0,0,0,0.10282
0.21875,0,0,0,0.0960169
0.25,0,0,0,0.088283
0.28125,0,0,0,0.0797059
0.3125,0,0,0,0.0703816
0.34375,0,0,0,0.0604131
0.375,0,0,0,0.0499097
0.40625,0,0,0,0.0389854
0.4375,0,0,0,0.0277578
0.46875,0,0,0,0.0163471
0.5,0,0,0,0.00487522
0.53125,0,0,0,-0.00653562
0.5625,0,0,0,-0.0177636
0.59375,0,0,0,-0.0286885
0.625,0,0,0,-0.0391926
0.65625,0,0,0,-0.0491619
0.6875,0,0,0,-0.0584873
0.71875,0,0,0,-0.0670655
0.75,0,0,0,-0.0748005
0.78125,0,0,0,-0.0816049
0.8125,0,0,0,-0.0874007
0.84375,0,0,0,-0.0921211
0.875,0,0,0,-0.0957109
0.90625,0,0,0,-0.0981279
0.9375,0,0,0,-0.0993437
0.96875,0,0,0,-0.0993437
0,0.0625,0,0,0.120553
0.03125,0.0625,0,0,0.120553
0.0625,0.0625,1.9434e-05,0,0.119338
0.09375,0.0625,3.86537e-05,0,0.116922
0.125,0.0625,5.74167e-05,0,0.113334
0.15625,0.0625,7.55052e-05,0,0.108615
0.1875,0.0625,9.27132e-05,0,0.10282
0.21875,0.0625,0.00010885,0,0.0960169
0.25,0.0625,0.000123742,0,0.088283
0.28125,0.0625,0.000137233,0,0.0797059
0.3125,0.0625,0.00014919,0,0.0703816
0.34375,0.0625,0.000159495,0,0.0604131
0.375,0.0625,0.000168054,0,0.0499097
0.40625,0.0625,0.000174789,0,0.0389854
0.4375,0.0625,0.000179642,0,0.0277578
0.46875,0.0625,0.00018257,0,0.0163471
0.5,0.0625,0.00018355,0,0.00487522
0.53125,0.0625,0.000182573,0,-0.00653562
0.5625,0.0625,0.000179648,0,-0.0177636
0.59375,0.0625,0.000174798,0,-0.0286885
0.625,0.0625,0.000168066,0,-0.0391926
0.65625,0.0625,0.000159509,0,-0.0491619
0.6875,0.0625,0.000149206,0,-0.0584873
0.71875,0.0625,0.000137251,0,-0.0670655
0.75,0.0625,0.000123761,0,-0.0748005
0.78125,0.0625,0.00010887,0,-0.0816049
0.8125,0.0625,9.27338e-05,0,-0.0874007
0.84375,0.0625,7.55258e-05,0,-0.0921211
0.875,0.0625,5.74368e-05,0,-0.0957109
0.90625,0.0625,3.86729e-05,0,-0.0981279
0.9375,0.0625,1.94518e-05,0,-0.0993437
0.96875,0.0625,0,0,-0.0993437
0,0.125,0,0,0.125421
0.03125,0.125,0,-3.89468e-05,0.125421
0.0625,0.125,2.03576e-05,-3.84851e-05,0.124149
0.09375,0.125,4.04834e-05,-3.75702e-05,0.121618
0.125,0.125,6.01189e-05,-3.62191e-05,0.117861
0.15625,0.125,7.90319e-05,-3.44557e-05,0.112922
0.1875,0.125,9.70045e-05,-3.23101e-05,0.106859
0.21875,0.125,0.000113837,-2.98168e-05,0.099744
0.25,0.125,0.000129348,-2.70134e-05,0.0916597
0.28125,0.125,0.000143382,-2.39391e-05,0.0826983
0.3125,0.125,0.000155801,-2.06335e-05,0.0729608
0.34375,0.125,0.000166491,-1.71358e-05,0.0625551
0.375,0.125,0.000175358,-1.34838e-05,0.0515952
0.40625,0.125,0.000182329,-9.71406e-06,0.0401996
0.4375,0.125,0.000187347,-5.86151e-06,0.0284904
0.46875,0.125,0.000190374,-1.95982e-06,0.0165921
0.5,0.125,0.000191386,1.95814e-06,0.00463045
0.53125,0.125,0.000190377,5.85981e-06,-0.00726809
0.5625,0.125,0.000187353,9.71234e-06,-0.0189776
0.59375,0.125,0.000182338,1.3482e-05,-0.0303737
0.625,0.125,0.00017537,1.7134e-05,-0.0413343
0.65625,0.125,0.000166505,2.06316e-05,-0.0517409
0.6875,0.125,0.000155817,2.39372e-05,-0.0614794
0.71875,0.125,0.000143399,2.70114e-05,-0.0704419
0.75,0.125,0.000129367,2.98147e-05,-0.0785273
0.78125,0.125,0.000113856,3.2308e-05,-0.0856434
0.8125,0.125,9.70248e-05,3.44535e-05,-0.0917074
0.84375,0.125,7.90524e-05,3.62168e-05,-0.0966482
0.875,0.125,6.01389e-05,3.75678e-05,-0.100407
0.90625,0.125,4.05024e-05,3.84826e-05,-0.102938
0.9375,0.125,2.03752e-05,3.89443e-05,-0.104212
0.96875,0.125,0,0,-0.104212
0,0.1875,0,0,0.135388
0.03125,0.1875,0,-7.97323e-05,0.135388
0.0625,0.1875,2.22736e-05,-7.87743e-05,0.133995
0.09375,0.1875,4.42767e-05,-7.68776e-05,0.131228
0.125,0.1875,6.5715e-05,-7.40796e-05,0.127121
0.15625,0.1875,8.63247e-05,-7.04332e-05,0.121726
0.1875,0.1875,0.000105862,-6.60042e-05,0.115109
0.21875,0.1875,0.000124109,-6.08678e-05,0.107352
0.25,0.1875,0.000140875,-5.51047e-05,0.0985478
0.28125,0.1875,0.000155995,-4.87982e-05,0.0887981
0.3125,0.1875,0.000169335,-4.20313e-05,0.0782147
0.34375,0.1875,0.000180784,-3.48848e-05,0.0669157
