x,y,u,v,p
0.375,0.1875,0.000190256,-2.74358e-05,0.0550247
0.40625,0.1875,0.000197686,-1.97573e-05,0.0426693
0.4375,0.1875,0.000203025,-1.19182e-05,0.0299802
0.46875,0.1875,0.000206242,-3.98419e-06,0.0170901
0.5,0.1875,0.000207317,3.98119e-06,0.0041328
0.53125,0.1875,0.000206245,1.19152e-05,-0.00875749
0.5625,0.1875,0.000203031,1.97543e-05,-0.0214469
0.59375,0.1875,0.000197695,2.74328e-05,-0.0338028
0.625,0.1875,0.000190267,3.48817e-05,-0.0456946
0.65625,0.1875,0.000180797,4.20282e-05,-0.0569944
0.6875,0.1875,0.00016935,4.8795e-05,-0.0675788
0.71875,0.1875,0.000156012,5.51014e-05,-0.0773296
0.75,0.1875,0.000140893,6.08645e-05,-0.0861354
0.78125,0.1875,0.000124129,6.60008e-05,-0.0938935
0.8125,0.1875,0.000105883,7.04297e-05,-0.100511
0.84375,0.1875,8.6345e-05,7.4076e-05,-0.105908
0.875,0.1875,6.57349e-05,7.68739e-05,-0.110016
0.90625,0.1875,4.42956e-05,7.87705e-05,-0.112785
0.9375,0.1875,2.22911e-05,7.97284e-05,-0.114178
0.96875,0.1875,0,0,-0.114178
0,0.25,0,0,0.150931
0.03125,0.25,0,-0.000124349,0.150931
0.0625,0.25,2.53359e-05,-0.000122818,0.149348
0.09375,0.25,5.03318e-05,-0.00011979,0.146202
0.125,0.25,7.46294e-05,-0.000115333,0.141538
0.15625,0.25,9.79098e-05,-0.000109541,0.135418
0.1875,0.25,0.000119887,-0.000102528,0.127925
0.21875,0.25,0.000140315,-9.44253e-05,0.119156
0.25,0.25,0.000158987,-8.53694e-05,0.109219
0.28125,0.25,0.000175737,-7.54985e-05,0.0982354
0.3125,0.25,0.000190437,-6.49474e-05,0.0863331
0.34375,0.25,0.000202991,-5.38437e-05,0.0736462
0.375,0.25,0.000213332,-4.23058e-05,0.0603129
0.40625,0.25,0.000221412,-3.04427e-05,0.0464746
0.4375,0.25,0.000227202,-1.83544e-05,0.0322745
0.46875,0.25,0.000230682,-6.13401e-06,0.0178569
0.5,0.25,0.000231845,6.12986e-06,0.00336657
0.53125,0.25,0.000230685,1.83502e-05,-0.0110513
0.5625,0.25,0.000227208,3.04385e-05,-0.0252517
0.59375,0.25,0.000221421,4.23016e-05,-0.0390905
0.625,0.25,0.000213343,5.38395e-05,-0.0524245
0.65625,0.25,0.000203005,6.49431e-05,-0.0651123
0.6875,0.25,0.000190452,7.54941e-05,-0.0770156
0.71875,0.25,0.000175754,8.53649e-05,-0.0880002
0.75,0.25,0.000159005,9.44208e-05,-0.097938
0.78125,0.25,0.000140334,0.000102524,-0.106709
0.8125,0.25,0.000119907,0.000109536,-0.114203
0.84375,0.25,9.79299e-05,0.000115328,-0.120324
0.875,0.25,7.4649e-05,0.000119785,-0.124989
0.90625,0.25,5.03506e-05,0.000122813,-0.128136
0.9375,0.25,2.53532e-05,0.000124344,-0.129721
0.96875,0.25,0,0,-0.129721
0,0.3125,0,0,0.172817
0.03125,0.3125,0,-0.00017509,0.172817
0.0625,0.3125,2.9822e-05,-0.000172847,0.170954
0.09375,0.3125,5.91833e-05,-0.000168421,0.167255
0.125,0.3125,8.76158e-05,-0.000161928,0.161779
0.15625,0.3125,0.00011471,-0.000153527,0.154609
0.1875,0.3125,0.000140117,-0.000143413,0.145852
0.21875,0.3125,0.00016355,-0.000131795,0.13563
0.25,0.3125,0.000184791,-0.000118893,0.124081
0.28125,0.3125,0.000203684,-0.000104919,0.11135
0.3125,0.3125,0.000220128,-9.0074e-05,0.0975924
0.34375,0.3125,0.000234061,-7.45391e-05,0.0829635
0.375,0.3125,0.000245457,-5.84767e-05,0.0676225
0.40625,0.3125,0.000254309,-4.20285e-05,0.0517282
0.4375,0.3125,0.000260621,-2.53187e-05,0.0354394
0.46875,0.3125,0.000264404,-8.45774e-06,0.0189141
0.5,0.3125,0.000265665,8.45265e-06,0.00230999
0.53125,0.3125,0.000264407,2.53136e-05,-0.0142155
0.5625,0.3125,0.000260627,4.20234e-05,-0.0305047
0.59375,0.3125,0.000254317,5.84716e-05,-0.0463995
0.625,0.3125,0.000245468,7.45339e-05,-0.0617412
0.65625,0.3125,0.000234074,9.00687e-05,-0.0763709
0.6875,0.3125,0.000220143,0.000104914,-0.0901298
0.71875,0.3125,0.000203701,0.000118888,-0.102861
0.75,0.3125,0.000184809,0.00013179,-0.114412
0.78125,0.3125,0.000163569,0.000143407,-0.124635
0.8125,0.3125,0.000140137,0.000153522,-0.133393
0.84375,0.3125,0.00011473,0.000161922,-0.140564
0.875,0.3125,8.76353e-05,0.000168415,-0.146041
0.90625,0.3125,5.92019e-05,0.000172841,-0.149741
0.9375,0.3125,2.98392e-05,0.000175084,-0.151606
0.96875,0.3125,0,0,-0.151606
0,0.375,0,0,0.202168
0.03125,0.375,0,-0.000234802,0.202168
0.0625,0.375,3.62144e-05,-0.000231606,0.199904
0.09375,0.375,7.17529e-05,-0.000225321,0.19542
0.125,0.375,0.000105957,-0.000216151,0.188797
0.15625,0.375,0.000138269,-0.000204371,0.180156
0.1875,0.375,0.000168244,-0.000190308,0.16964
0.21875,0.375,0.000195556,-0.000174304,0.157418
0.25,0.375,0.000219992,-0.000156704,0.143669
0.28125,0.375,0.00024144,-0.000137826,0.128579
0.3125,0.375,0.000259864,-0.000117958,0.112337
0.34375,0.375,0.000275288,-9.73446e-05,0.0951316
0.375,0.375,0.000287765,-7.61905e-05,0.0771463
0.40625,0.375,0.000297368,-5.46607e-05,0.0585608
0.4375,0.375,0.000304167,-3.28877e-05,0.0395503
0.46875,0.375,0.000308222,-1.0979e-05,0.0202865
0.5,0.375,0.00030957,1.09732e-05,0.000938341
0.53125,0.375,0.000308225,3.28819e-05,-0.0183257
0.5625,0.375,0.000304173,5.46549e-05,-0.0373365
0.59375,0.375,0.000297377,7.61846e-05,-0.0559226
0.625,0.375,0.000287776,9.73388e-05,-0.0739086
0.65625,0.375,0.000275301,0.000117952,-0.0911149
0.6875,0.375,0.00025988,0.00013782,-0.107357
0.71875,0.375,0.000241457,0.000156698,-0.122448
0.75,0.375,0.00022001,0.000174298,-0.136199
0.78125,0.375,0.000195575,0.000190301,-0.148422
0.8125,0.375,0.000168264,0.000204365,-0.158939
0.84375,0.375,0.000138289,0.000216144,-0.167582
0.875,0.375,0.000105976,0.000225315,-0.174206
0.90625,0.375,7.17713e-05,0.0002316,-0.178691
0.9375,0.375,3.62314e-05,0.000234796,-0.180956
0.96875,0.375,0,0,-0.180956
0,0.4375,0,0,0.24058
0.03125,0.4375,0,-0.000307299,0.24058
0.0625,0.4375,4.53727e-05,-0.000302719,0.237744
0.09375,0.4375,8.96635e-05,-0.000293764,0.23214
0.125,0.4375,0.000131867,-0.000280809,0.223899
0.15625,0.4375,0.000171181,-0.000264353,0.2132
0.1875,0.4375,0.000207031,-0.000244959,0.20026
0.21875,0.4375,0.00023907,-0.000223203,0.185318
0.25,0.4375,0.000267152,-0.000199622,0.168621
0.28125,0.4375,0.000291292,-0.000174696,0.150416
0.3125,0.4375,0.000311613,-0.000148822,0.13094
0.34375,0.4375,0.000328304,-0.000122313,0.110421
0.375,0.4375,0.000341579,-9.54065e-05,0.0890721
0.40625,0.4375,0.00035165,-6.82656e-05,0.067094
0.4375,0.4375,0.0003587,-4.09992e-05,0.0446752
0.46875,0.4375,0.000362872,-1.3674e-05,0.0219957
0.5,0.4375,0.000364254,1.36679e-05,-0.00077014
0.53125,0.4375,0.000362875,4.0993e-05,-0.0234498
0.5625,0.4375,0.000358706,6.82594e-05,-0.045869
0.59375,0.4375,0.000351658,9.54002e-05,-0.0678476
0.625,0.4375,0.00034159,0.000122307,-0.089197
0.65625,0.4375,0.000328317,0.000148815,-0.109717
0.6875,0.4375,0.000311629,0.00017469,-0.129194
0.71875,0.4375,0.000291309,0.000199616,-0.1474
0.75,0.4375,0.00026717,0.000223196,-0.164099
0.78125,0.4375,0.000239089,0.000244953,-0.179042
0.8125,0.4375,0.000207051,0.000264346,-0.191982
0.84375,0.4375,0.000171201,0.000280802,-0.202682
0.875,0.4375,0.000131886,0.000293757,-0.210925
0.90625,0.4375,8.96818e-05,0.000302713,-0.21653
0.9375,0.4375,4.53896e-05,0.000307292,-0.219367
0.96875,0.4375,0,0,-0.219367
0,0.5,0,0,0.290344
0.03125,0.5,0,-0.000398111,0.290344
0.0625,0.5,5.89212e-05,-0.000391337,0.286661
0.09375,0.5,0.000115925,-0.000378206,0.279416
0.125,0.5,0.000169339,-0.00035947,0.268832
0.15625,0.5,0.000217956,-0.000336083,0.25521
0.1875,0.5,0.000261066,-0.000309065,0.238893
0.21875,0.5,0.000298412,-0.000279394,0.220243
0.25,0.5,0.000330089,-0.000247926,0.199612
0.28125,0.5,0.000356428,-0.000215358,0.177335
0.3125,0.5,0.000377891,-0.000182219,0.153717
0.34375,0.5,0.000394988,-0.000148877,0.12903
0.375,0.5,0.000408218,-0.000115558,0.103517
0.40625,0.5,0.00041802,-8.23729e-05,0.0773906
0.4375,0.5,0.000424756,-4.93451e-05,0.0508434
0.46875,0.5,0.00042869,-1.6436e-05,0.0240502
0.5,0.5,0.000429985,1.64297e-05,-0.00282385
0.53125,0.5,0.000428693,4.93388e-05,-0.0296172
0.5625,0.5,0.000424762,8.23666e-05,-0.0561648
0.59375,0.5,0.000418028,0.000115552,-0.0822915
0.625,0.5,0.000408228,0.000148871,-0.107806
0.65625,0.5,0.000395002,0.000182213,-0.132493
0.6875,0.5,0.000377906,0.000215352,-0.156113
0.71875,0.5,0.000356444,0.000247919,-0.17839
0.75,0.5,0.000330107,0.000279387,-0.199022
0.78125,0.5,0.000298431,0.000309059,-0.217674
0.8125,0.5,0.000261085,0.000336076,-0.233992
0.84375,0.5,0.000217975,0.000359463,-0.247615
0.875,0.5,0.000169359,0.000378199,-0.2582
0.90625,0.5,0.000115943,0.00039133,-0.265447
0.9375,0.5,5.89379e-05,0.000398104,-0.26913
0.96875,0.5,0,0,-0.26913
0,0.5625,0,0,0.354846
0.03125,0.5625,0,-0.00051602,0.354846
0.0625,0.5625,8.01996e-05,-0.000505381,0.349834
0.09375,0.5625,0.000156549,-0.000485069,0.34005
0.125,0.5625,0.000226007,-0.000456735,0.325924
0.15625,0.5625,0.000286761,-0.000422333,0.308002
0.1875,0.5625,0.000338159,-0.000383786,0.286867
0.21875,0.5625,0.000380437,-0.000342774,0.263089
0.25,0.5625,0.000414385,-0.000300626,0.23719
0.28125,0.5625,0.000441071,-0.000258304,0.209623
0.3125,0.5625,0.000461635,-0.000216431,0.180771
0.34375,0.5625,0.000477154,-0.000175349,0.150949
0.375,0.5625,0.000488571,-0.000135172,0.120413
0.40625,0.5625,0.000496662,-9.58508e-05,0.0893719
0.4375,0.5625,0.000502024,-5.72167e-05,0.0579954
0.46875,0.5625,0.000505076,-1.90237e-05,0.0264282
0.5,0.5625,0.000506067,1.90176e-05,-0.00520105
0.53125,0.5625,0.000505079,5.72106e-05,-0.0367685
0.5625,0.5625,0.00050203,9.58447e-05,-0.0681454
0.59375,0.5625,0.000496671,0.000135166,-0.0991873
0.625,0.5625,0.000488582,0.000175343,-0.129724
0.65625,0.5625,0.000477167,0.000216425,-0.159547
0.6875,0.5625,0.00046165,0.000258298,-0.1884
0.71875,0.5625,0.000441088,0.000300619,-0.215968
0.75,0.5625,0.000414403,0.000342767,-0.241868
0.78125,0.5625,0.000380456,0.00038378,-0.265646
0.8125,0.5625,0.000338179,0.000422327,-0.286783
0.84375,0.5625,0.00028678,0.000456729,-0.304706
0.875,0.5625,0.000226026,0.000485062,-0.318833
0.90625,0.5625,0.000156567,0.000505374,-0.328618
0.9375,0.5625,8.02163e-05,0.000516013,-0.333632
0.96875,0.5625,0,0,-0.333632
0,0.625,0,0,0.439407
0.03125,0.625,0,-0.000676485,0.439407
0.0625,0.625,0.000116941,-0.000658115,0.432098
0.09375,0.625,0.000224741,-0.000624018,0.418052
0.125,0.625,0.000317492,-0.000578276,0.398209
0.15625,0.625,0.000392989,-0.000525161,0.373647
0.1875,0.625,0.000451743,-0.000468369,0.345413
0.21875,0.625,0.000495785,-0.000410695,0.314426
0.25,0.625,0.000527732,-0.000354021,0.281443
0.28125,0.625,0.000550213,-0.000299451,0.247055
0.3125,0.625,0.000565566,-0.000247485,0.211707
0.34375,0.625,0.000575732,-0.000198196,0.175724
0.375,0.625,0.000582236,-0.000151364,0.139334
0.40625,0.625,0.000586229,-0.00010658,0.102695
0.4375,0.625,0.000588538,-6.33235e-05,0.0659109
0.46875,0.625,0.000589715,-2.10044e-05,0.0290537
0.5,0.625,0.000590074,2.09988e-05,-0.0078259
0.53125,0.625,0.000589718,6.33179e-05,-0.0446832
0.5625,0.625,0.000588544,0.000106575,-0.0814672
0.59375,0.625,0.000586237,0.000151358,-0.118107
0.625,0.625,0.000582246,0.000198191,-0.154497
0.65625,0.625,0.000575745,0.000247479,-0.190482
0.6875,0.625,0.000565581,0.000299445,-0.22583
0.71875,0.625,0.00055023,0.000354016,-0.26022
0.75,0.625,0.00052775,0.000410689,-0.293204
0.78125,0.625,0.000495804,0.000468363,-0.324192
0.8125,0.625,0.000451763,0.000525155,-0.352427
0.84375,0.625,0.000393009,0.00057827,-0.37699
0.875,0.625,0.000317511,0.000624012,-0.396834
0.90625,0.625,0.000224759,0.000658109,-0.410882
0.9375,0.625,0.000116957,0.000676479,-0.418192
0.96875,0.625,0,0,-0.418192
0,0.6875,0,0,0.553211
0.03125,0.6875,0,-0.000910432,0.553211
0.0625,0.6875,0.000190304,-0.000873751,0.541317
0.09375,0.6875,0.000353134,-0.000809554,0.519246
0.125,0.6875,0.000477998,-0.000729302,0.489371
0.15625,0.6875,0.000566193,-0.0006427,0.453984
0.1875,0.6875,0.000624183,-0.00055648,0.414973
0.21875,0.6875,0.000659516,-0.000474615,0.373753
0.25,0.6875,0.000678953,-0.000399005,0.331319
0.28125,0.6875,0.000687868,-0.000330177,0.288327
0.3125,0.6875,0.000690256,-0.000267832,0.245186
0.34375,0.6875,0.000688962,-0.000211217,0.202126
0.375,0.6875,0.00068595,-0.00015936,0.159254
0.40625,0.6875,0.000682539,-0.000111204,0.116595
0.4375,0.6875,0.000679589,-6.56789e-05,0.0741207
0.46875,0.6875,0.00067763,-2.1721e-05,0.0317688
0.5,0.6875,0.000676948,2.17162e-05,-0.0105404
0.53125,0.6875,0.000677633,6.56741e-05,-0.0528925
0.5625,0.6875,0.000679595,0.0001112,-0.0953672
0.59375,0.6875,0.000682547,0.000159355,-0.138026
0.625,0.6875,0.000685961,0.000211212,-0.180899
0.65625,0.6875,0.000688975,0.000267827,-0.22396
0.6875,0.6875,0.000690271,0.000330172,-0.267102
0.71875,0.6875,0.000687885,0.000399,-0.310095
0.75,0.6875,0.000678971,0.00047461,-0.35253
0.78125,0.6875,0.000659535,0.000556475,-0.393751
0.8125,0.6875,0.000624202,0.000642695,-0.432764
0.84375,0.6875,0.000566212,0.000729297,-0.468152
0.875,0.6875,0.000478016,0.000809549,-0.498028
0.90625,0.6875,0.000353152,0.000873746,-0.5201
0.9375,0.6875,0.000190321,0.000910427,-0.531995
0.96875,0.6875,0,0,-0.531995
0,0.75,0,0,0.714599
0.03125,0.75,0,-0.00129111,0.714599
0.0625,0.75,0.000373625,-0.00119945,0.691248
0.09375,0.75,0.000633394,-0.00105932,0.651661
0.125,0.75,0.000785179,-0.000905724,0.602587
0.15625,0.75,0.000860224,-0.000758709,0.548823
0.1875,0.75,0.000887251,-0.000627175,0.49337
0.21875,0.75,0.000886837,-0.000513514,0.437942
0.25,0.75,0.000872267,-0.000416857,0.383426
0.28125,0.75,0.000851637,-0.000334972,0.330198
0.3125,0.75,0.000829682,-0.00026526,0.278343
0.34375,0.75,0.000809073,-0.000205205,0.227776
0.375,0.75,0.000791265,-0.000152547,0.178322
0.40625,0.75,0.000777013,-0.00010531,0.129759
0.4375,0.75,0.000766684,-6.17629e-05,0.0818411
0.46875,0.75,0.000760446,-2.03552e-05,0.0343132
0.5,0.75,0.000758362,2.03514e-05,-0.0130844
0.53125,0.75,0.000760449,6.17591e-05,-0.0606124
0.5625,0.75,0.00076669,0.000105307,-0.108531
0.59375,0.75,0.000777021,0.000152543,-0.157094
0.625,0.75,0.000791276,0.000205201,-0.206549
0.65625,0.75,0.000809086,0.000265256,-0.257117
0.6875,0.75,0.000829696,0.000334969,-0.308973
0.71875,0.75,0.000851654,0.000416853,-0.362201
0.75,0.75,0.000872285,0.00051351,-0.416719
0.78125,0.75,0.000886855,0.000627171,-0.472148
0.8125,0.75,0.00088727,0.000758705,-0.527602
0.84375,0.75,0.000860243,0.00090572,-0.581367
0.875,0.75,0.000785198,0.00105931,-0.630442
0.90625,0.75,0.000633412,0.00119944,-0.67003
0.9375,0.75,0.000373641,0.0012911,-0.693383
0.96875,0.75,0,0,-0.693383
0,0.8125,0,0,0.969402
0.03125,0.8125,0,-0.00203842,0.969402
0.0625,0.8125,0.00101243,-0.00171902,0.906125
0.09375,0.8125,0.0013456,-0.00136292,0.822025
0.125,0.8125,0.00139932,-0.00105585,0.734568
0.15625,0.8125,0.00134633,-0.000812793,0.650422
0.1875,0.8125,0.00126009,-0.000626373,0.571666
0.21875,0.8125,0.00117078,-0.000484401,0.498492
0.25,0.8125,0.00108983,-0.000375619,0.430378
0.28125,0.8125,0.00102072,-0.00029108,0.366583
0.3125,0.8125,0.000963724,-0.000224058,0.306351
0.34375,0.8125,0.000917987,-0.000169601,0.248976
0.375,0.8125,0.000882365,-0.000124052,0.193829
0.40625,0.8125,0.000855797,-8.46595e-05,0.140341
0.4375,0.8125,0.000837428,-4.92875e-05,0.088002
0.46875,0.8125,0.00082665,-1.61854e-05,0.0363364
0.5,0.8125,0.000823098,1.61828e-05,-0.0151072
0.53125,0.8125,0.000826653,4.92849e-05,-0.066773
0.5625,0.8125,0.000837434,8.46569e-05,-0.119113
0.59375,0.8125,0.000855805,0.000124049,-0.1726
0.625,0.8125,0.000882375,0.000169599,-0.227749
0.65625,0.8125,0.000918,0.000224056,-0.285124
0.6875,0.8125,0.000963739,0.000291077,-0.345358
0.71875,0.8125,0.00102073,0.000375617,-0.409153
0.75,0.8125,0.00108985,0.000484398,-0.477269
0.78125,0.8125,0.0011708,0.000626371,-0.550444
0.8125,0.8125,0.00126011,0.00081279,-0.629201
0.84375,0.8125,0.00134635,0.00105584,-0.713348
0.875,0.8125,0.00139934,0.00136292,-0.800806
0.90625,0.8125,0.00134562,0.00171902,-0.884907
0.9375,0.8125,0.00101244,0.00203842,-0.948185
0.96875,0.8125,0,0,-0.948185
0,0.875,0,0,1.47732
0.03125,0.875,0.0256,-0.00406334,1.47732
0.0625,0.875,0.0299683,-0.0023854,1.2043
0.09375,0.875,0.0287756,-0.00147041,1.00583
0.125,0.875,0.0280404,-0.000949886,0.853303
0.15625,0.875,0.0275654,-0.000640347,0.730465
0.1875,0.875,0.0272452,-0.000447784,0.627639
0.21875,0.875,0.0270213,-0.00032252,0.538807
0.25,0.875,0.02686,-0.000237415,0.460055
0.28125,0.875,0.0267413,-0.000177114,0.388723
0.3125,0.875,0.0266528,-0.000132599,0.322925
0.34375,0.875,0.0265864,-9.83696e-05,0.261273
0.375,0.875,0.0265373,-7.09244e-05,0.202694
0.40625,0.875,0.0265018,-4.79286e-05,0.146332
0.4375,0.875,0.0264778,-2.77322e-05,0.0914686
0.46875,0.875,0.026464,-9.07996e-06,0.0374714
0.5,0.875,0.0264594,9.07863e-06,-0.016242
0.53125,0.875,0.026464,2.77308e-05,-0.0702394
0.5625,0.875,0.0264778,4.79273e-05,-0.125104
0.59375,0.875,0.0265018,7.09231e-05,-0.181466
0.625,0.875,0.0265373,9.83683e-05,-0.240045
0.65625,0.875,0.0265865,0.000132598,-0.301699
0.6875,0.875,0.0266528,0.000177112,-0.367497
0.71875,0.875,0.0267413,0.000237414,-0.43883
0.75,0.875,0.0268601,0.000322519,-0.517584
0.78125,0.875,0.0270213,0.000447783,-0.606417
0.8125,0.875,0.0272452,0.000640346,-0.709244
0.84375,0.875,0.0275654,0.000949884,-0.832083
0.875,0.875,0.0280404,0.0014704,-0.984607
0.90625,0.875,0.0287756,0.0023854,-1.18308
0.9375,0.875,0.0299683,0.00406333,-1.4561
0.96875,0.875,0,0,-1.4561
0,0.9375,0,0,1.47732
0.03125,0.9375,1,0,1.47732
0.0625,0.9375,1,0,1.2043
0.09375,0.9375,1,0,1.00583
0.125,0.9375,1,0,0.853303
0.15625,0.9375,1,0,0.730465
0.1875,0.9375,1,0,0.627639
0.21875,0.9375,1,0,0.538807
0.25,0.9375,1,0,0.460055
0.28125,0.9375,1,0,0.388723
0.3125,0.9375,1,0,0.322925
0.34375,0.9375,1,0,0.261273
0.375,0.9375,1,0,0.202694
0.40625,0.9375,1,0,0.146332
0.4375,0.9375,1,0,0.0914686
0.46875,0.9375,1,0,0.0374714
0.5,0.9375,1,0,-0.016242
0.53125,0.9375,1,0,-0.0702394
0.5625,0.9375,1,0,-0.125104
0.59375,0.9375,1,0,-0.181466
0.625,0.9375,1,0,-0.240045
0.65625,0.9375,1,0,-0.301699
0.6875,0.9375,1,0,-0.367497
0.71875,0.9375,1,0,-0.43883
0.75,0.9375,1,0,-0.517584
0.78125,0.9375,1,0,-0.606417
0.8125,0.9375,1,0,-0.709244
0.84375,0.9375,1,0,-0.832083
0.875,0.9375,1,0,-0.984607
0.90625,0.9375,1,0,-1.18308
0.9375,0.9375,1,0,-1.4561
0.96875,0.9375,0,0,-1.4561
