# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.76202e-05
-0.475	-0.45	9.52189e-05
-0.475	-0.425	0.000142657
-0.475	-0.4	0.000189529
-0.475	-0.375	0.000235022
-0.475	-0.35	0.00027777
-0.475	-0.325	0.000315711
-0.475	-0.3	0.000345983
-0.475	-0.275	0.000364879
-0.475	-0.25	0.000367938
-0.475	-0.225	0.000350235
-0.475	-0.2	0.000306987
-0.475	-0.175	0.000234558
-0.475	-0.15	0.000131936
-0.475	-0.125	2.60546e-06
-0.475	-0.1	-0.000143512
-0.475	-0.075	-0.000288843
-0.475	-0.05	-0.00040893
-0.475	-0.025	-0.000476569
-0.475	0	-0.000469607
-0.475	0.025	-0.00037987
-0.475	0.05	-0.000217544
-0.475	0.075	-6.81137e-06
-0.475	0.1	0.000223076
-0.475	0.125	0.000445614
-0.475	0.15	0.00064123
-0.475	0.175	0.000798131
-0.475	0.2	0.000911178
-0.475	0.225	0.000980056
-0.475	0.25	0.00100749
-0.475	0.275	0.000997863
-0.475	0.3	0.000956195
-0.475	0.325	0.000887582
-0.475	0.35	0.000796833
-0.475	0.375	0.000688317
-0.475	0.4	0.000565912
-0.475	0.425	0.000433026
-0.475	0.45	0.000292662
-0.475	0.475	0.0001475
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.52189e-05
-0.45	-0.45	0.000190513
-0.45	-0.425	0.000285721
-0.45	-0.4	0.000380151
-0.45	-0.375	0.000472287
-0.45	-0.35	0.000559476
-0.45	-0.325	0.000637622
-0.45	-0.3	0.000700919
-0.45	-0.275	0.000741703
-0.45	-0.25	0.00075054
-0.45	-0.225	0.000716715
-0.45	-0.2	0.000629347
-0.45	-0.175	0.000479384
-0.45	-0.15	0.000262695
-0.45	-0.125	-1.57094e-05
-0.45	-0.1	-0.000336845
-0.45	-0.075	-0.000663853
-0.45	-0.05	-0.000942056
-0.45	-0.025	-0.00110711
-0.45	0	-0.00110379
-0.45	0.025	-0.000910521
-0.45	0.05	-0.000552904
-0.45	0.075	-9.02412e-05
-0.45	0.1	0.000408985
-0.45	0.125	0.00088593
-0.45	0.15	0.00129964
-0.45	0.175	0.00162724
-0.45	0.2	0.00186031
-0.45	0.225	0.0020002
-0.45	0.25	0.00205405
-0.45	0.275	0.00203189
-0.45	0.3	0.00194465
-0.45	0.325	0.00180307
-0.45	0.35	0.00161713
-0.45	0.375	0.00139575
-0.45	0.4	0.00114677
-0.45	0.425	0.000877035
-0.45	0.45	0.00059253
-0.45	0.475	0.000298567
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000142657
