# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.72131e-05
-0.475	-0.45	9.43987e-05
-0.475	-0.425	0.000141423
-0.475	-0.4	0.000187885
-0.475	-0.375	0.000232978
-0.475	-0.35	0.00027534
-0.475	-0.325	0.000312914
-0.475	-0.3	0.000342841
-0.475	-0.275	0.000361418
-0.475	-0.25	0.000364186
-0.475	-0.225	0.000346224
-0.475	-0.2	0.000302749
-0.475	-0.175	0.000230127
-0.475	-0.15	0.000127345
-0.475	-0.125	-2.11352e-06
-0.475	-0.1	-0.000148328
-0.475	-0.075	-0.000293729
-0.475	-0.05	-0.000413862
-0.475	-0.025	-0.000481526
-0.475	0	-0.000474571
-0.475	0.025	-0.000384824
-0.475	0.05	-0.000222471
-0.475	0.075	-1.16897e-05
-0.475	0.1	0.000218269
-0.475	0.125	0.000440906
-0.475	0.15	0.00063665
-0.475	0.175	0.000793711
-0.475	0.2	0.000906949
-0.475	0.225	0.000976052
-0.475	0.25	0.00100375
-0.475	0.275	0.000994401
-0.475	0.3	0.000953047
-0.475	0.325	0.000884773
-0.475	0.35	0.000794387
-0.475	0.375	0.000686253
-0.475	0.4	0.000564245
-0.475	0.425	0.000431768
-0.475	0.45	0.000291821
-0.475	0.475	0.00014708
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.43987e-05
-0.45	-0.45	0.000188862
-0.45	-0.425	0.00028324
-0.45	-0.4	0.000376851
-0.45	-0.375	0.000468188
-0.45	-0.35	0.000554607
-0.45	-0.325	0.000632022
-0.45	-0.3	0.000694633
-0.45	-0.275	0.000734785
-0.45	-0.25	0.000743048
-0.45	-0.225	0.000708711
-0.45	-0.2	0.000620899
-0.45	-0.175	0.000470558
-0.45	-0.15	0.000253559
-0.45	-0.125	-2.5091e-05
-0.45	-0.1	-0.000346411
-0.45	-0.075	-0.000673548
-0.45	-0.05	-0.000951833
-0.45	-0.025	-0.00111693
-0.45	0	-0.00111362
-0.45	0.025	-0.000920327
-0.45	0.05	-0.000562655
-0.45	0.075	-9.98996e-05
-0.45	0.1	0.000399466
-0.45	0.125	0.000876605
-0.45	0.15	0.00129056
-0.45	0.175	0.00161849
-0.45	0.2	0.00185193
-0.45	0.225	0.00199226
-0.45	0.25	0.00204663
-0.45	0.275	0.00202503
-0.45	0.3	0.00193841
-0.45	0.325	0.00179751
-0.45	0.35	0.00161229
-0.45	0.375	0.00139166
-0.45	0.4	0.00114347
-0.45	0.425	0.000874544
-0.45	0.45	0.000590865
-0.45	0.475	0.000297735
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000141423
