# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.74984e-05
-0.475	-0.45	9.49757e-05
-0.475	-0.425	0.000142294
-0.475	-0.4	0.000189049
-0.475	-0.375	0.000234429
-0.475	-0.35	0.000277069
-0.475	-0.325	0.000314909
-0.475	-0.3	0.000345086
-0.475	-0.275	0.000363895
-0.475	-0.25	0.000366874
-0.475	-0.225	0.000349101
-0.475	-0.2	0.000305791
-0.475	-0.175	0.00023331
-0.475	-0.15	0.000130644
-0.475	-0.125	1.27881e-06
-0.475	-0.1	-0.000144865
-0.475	-0.075	-0.000290215
-0.475	-0.05	-0.000410316
-0.475	-0.025	-0.000477963
-0.475	0	-0.000471003
-0.475	0.025	-0.000381265
-0.475	0.05	-0.000218933
-0.475	0.075	-8.18865e-06
-0.475	0.1	0.000221717
-0.475	0.125	0.00044428
-0.475	0.15	0.00063993
-0.475	0.175	0.000796873
-0.475	0.2	0.000909971
-0.475	0.225	0.000978911
-0.475	0.25	0.00100642
-0.475	0.275	0.000996868
-0.475	0.3	0.000955287
-0.475	0.325	0.000886769
-0.475	0.35	0.000796123
-0.475	0.375	0.000687716
-0.475	0.4	0.000565425
-0.475	0.425	0.000432657
-0.475	0.45	0.000292415
-0.475	0.475	0.000147376
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.49757e-05
-0.45	-0.45	0.000190027
-0.45	-0.425	0.000284997
-0.45	-0.4	0.000379194
-0.45	-0.375	0.000471105
-0.45	-0.35	0.000558079
-0.45	-0.325	0.000636023
-0.45	-0.3	0.000699131
-0.45	-0.275	0.000739741
-0.45	-0.25	0.000748421
-0.45	-0.225	0.000714456
-0.45	-0.2	0.000626967
-0.45	-0.175	0.000476901
-0.45	-0.15	0.000260127
-0.45	-0.125	-1.83454e-05
-0.45	-0.1	-0.000339533
-0.45	-0.075	-0.000666577
-0.45	-0.05	-0.000944805
-0.45	-0.025	-0.00110987
-0.45	0	-0.00110656
-0.45	0.025	-0.000913285
-0.45	0.05	-0.000555657
-0.45	0.075	-9.29726e-05
-0.45	0.1	0.000406288
-0.45	0.125	0.000883283
-0.45	0.15	0.00129705
-0.45	0.175	0.00162475
-0.45	0.2	0.00185792
-0.45	0.225	0.00199792
-0.45	0.25	0.00205192
-0.45	0.275	0.00202991
-0.45	0.3	0.00194284
-0.45	0.325	0.00180146
-0.45	0.35	0.00161572
-0.45	0.375	0.00139455
-0.45	0.4	0.0011458
-0.45	0.425	0.000876302
-0.45	0.45	0.000592038
-0.45	0.475	0.00029832
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000142294
