# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.73967e-05
-0.475	-0.45	9.4772e-05
-0.475	-0.425	0.000141989
-0.475	-0.4	0.000188645
-0.475	-0.375	0.000233929
-0.475	-0.35	0.000276476
-0.475	-0.325	0.000314227
-0.475	-0.3	0.000344322
-0.475	-0.275	0.000363055
-0.475	-0.25	0.000365965
-0.475	-0.225	0.00034813
-0.475	-0.2	0.000304767
-0.475	-0.175	0.000232239
-0.475	-0.15	0.000129534
-0.475	-0.125	1.38102e-07
-0.475	-0.1	-0.00014603
-0.475	-0.075	-0.000291398
-0.475	-0.05	-0.00041151
-0.475	-0.025	-0.000479165
-0.475	0	-0.000472208
-0.475	0.025	-0.000382469
-0.475	0.05	-0.000220133
-0.475	0.075	-9.37852e-06
-0.475	0.1	0.000220542
-0.475	0.125	0.000443127
-0.475	0.15	0.000638806
-0.475	0.175	0.000795786
-0.475	0.2	0.00090893
-0.475	0.225	0.000977922
-0.475	0.25	0.00100549
-0.475	0.275	0.000996008
-0.475	0.3	0.000954503
-0.475	0.325	0.000886068
-0.475	0.35	0.000795511
-0.475	0.375	0.000687198
-0.475	0.4	0.000565006
-0.475	0.425	0.00043234
-0.475	0.45	0.000292202
-0.475	0.475	0.00014727
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.4772e-05
-0.45	-0.45	0.000189619
-0.45	-0.425	0.000284387
-0.45	-0.4	0.000378386
-0.45	-0.375	0.000470104
-0.45	-0.35	0.000556894
-0.45	-0.325	0.000634662
-0.45	-0.3	0.000697606
-0.45	-0.275	0.000738066
-0.45	-0.25	0.000746608
-0.45	-0.225	0.000712521
-0.45	-0.2	0.000624925
-0.45	-0.175	0.000474768
-0.45	-0.15	0.000257918
-0.45	-0.125	-2.06142e-05
-0.45	-0.1	-0.000341848
-0.45	-0.075	-0.000668925
-0.45	-0.05	-0.000947175
-0.45	-0.025	-0.00111226
-0.45	0	-0.00110895
-0.45	0.025	-0.000915673
-0.45	0.05	-0.000558035
-0.45	0.075	-9.53327e-05
-0.45	0.1	0.000403957
-0.45	0.125	0.000880995
-0.45	0.15	0.00129482
-0.45	0.175	0.00162259
-0.45	0.2	0.00185585
-0.45	0.225	0.00199596
-0.45	0.25	0.00205007
-0.45	0.275	0.0020282
-0.45	0.3	0.00194128
-0.45	0.325	0.00180007
-0.45	0.35	0.0016145
-0.45	0.375	0.00139353
-0.45	0.4	0.00114497
-0.45	0.425	0.000875672
-0.45	0.45	0.000591616
-0.45	0.475	0.000298109
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000141989
