# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.66104e-05
-0.475	-0.45	9.37688e-05
-0.475	-0.425	0.000140793
-0.475	-0.4	0.000186852
-0.475	-0.375	0.000231952
-0.475	-0.35	0.000274217
-0.475	-0.325	0.000311701
-0.475	-0.3	0.000341551
-0.475	-0.275	0.000360025
-0.475	-0.25	0.000362963
-0.475	-0.225	0.000344777
-0.475	-0.2	0.000301246
-0.475	-0.175	0.000228845
-0.475	-0.15	0.00012606
-0.475	-0.125	-3.48018e-06
-0.475	-0.1	-0.000149789
-0.475	-0.075	-0.000295265
-0.475	-0.05	-0.000415275
-0.475	-0.025	-0.000482887
-0.475	0	-0.000475793
-0.475	0.025	-0.000385961
-0.475	0.05	-0.000223642
-0.475	0.075	-1.28858e-05
-0.475	0.1	0.000217163
-0.475	0.125	0.000439962
-0.475	0.15	0.000635755
-0.475	0.175	0.000792798
-0.475	0.2	0.000905989
-0.475	0.225	0.000975301
-0.475	0.25	0.00100305
-0.475	0.275	0.00099367
-0.475	0.3	0.000952539
-0.475	0.325	0.000884426
-0.475	0.35	0.000794027
-0.475	0.375	0.000685901
-0.475	0.4	0.000564028
-0.475	0.425	0.000431631
-0.475	0.45	0.000291915
-0.475	0.475	0.000147191
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.37688e-05
-0.45	-0.45	0.000187897
-0.45	-0.425	0.000281829
-0.45	-0.4	0.00037513
-0.45	-0.375	0.000466325
-0.45	-0.35	0.000552553
-0.45	-0.325	0.000629888
-0.45	-0.3	0.000692271
-0.45	-0.275	0.000732141
-0.45	-0.25	0.000740289
-0.45	-0.225	0.000705814
-0.45	-0.2	0.000618234
-0.45	-0.175	0.000467996
-0.45	-0.15	0.000251024
-0.45	-0.125	-2.75623e-05
-0.45	-0.1	-0.000348865
-0.45	-0.075	-0.000676092
-0.45	-0.05	-0.000954433
-0.45	-0.025	-0.00111938
-0.45	0	-0.00111588
-0.45	0.025	-0.000922493
-0.45	0.05	-0.000564844
-0.45	0.075	-0.000102212
-0.45	0.1	0.000397543
-0.45	0.125	0.000874778
-0.45	0.15	0.00128875
-0.45	0.175	0.00161676
-0.45	0.2	0.00185041
-0.45	0.225	0.00199105
-0.45	0.25	0.0020453
-0.45	0.275	0.00202365
-0.45	0.3	0.00193741
-0.45	0.325	0.00179663
-0.45	0.35	0.00161161
-0.45	0.375	0.001391
-0.45	0.4	0.00114303
-0.45	0.425	0.000874368
-0.45	0.45	0.000590878
-0.45	0.475	0.00029777
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000140793
