# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	11952.1
-0.475	-0.45	1663.03
-0.475	-0.425	-7058.53
-0.475	-0.4	5084.1
-0.475	-0.375	6415.26
-0.475	-0.35	8112.56
-0.475	-0.325	874.505
-0.475	-0.3	-2720.08
-0.475	-0.275	-103.511
-0.475	-0.25	-2134.43
-0.475	-0.225	581.943
-0.475	-0.2	3437.7
-0.475	-0.175	-1154.09
-0.475	-0.15	-8044.45
-0.475	-0.125	-12163
-0.475	-0.1	-5684.81
-0.475	-0.075	-6382.76
-0.475	-0.05	-12344.1
-0.475	-0.025	-12619.5
-0.475	0	2293.19
-0.475	0.025	-10653.2
-0.475	0.05	-10084.9
-0.475	0.075	-12405.9
-0.475	0.1	-10933
-0.475	0.125	-3220.36
-0.475	0.15	-3817.38
-0.475	0.175	2749.8
-0.475	0.2	-6970.13
-0.475	0.225	-4301.89
-0.475	0.25	9130.09
-0.475	0.275	304.239
-0.475	0.3	1204.8
-0.475	0.325	6573.96
-0.475	0.35	8167.52
-0.475	0.375	14078.3
-0.475	0.4	1365.73
-0.475	0.425	-11238.3
-0.475	0.45	-3906.8
-0.475	0.475	-537.664
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	1663.03
-0.45	-0.45	-4839.37
-0.45	-0.425	5443.98
-0.45	-0.4	6293.93
-0.45	-0.375	-308.006
-0.45	-0.35	-2730.8
-0.45	-0.325	-8966.17
-0.45	-0.3	-8442.78
-0.45	-0.275	-9959.5
-0.45	-0.25	-4920.07
-0.45	-0.225	-3903.62
-0.45	-0.2	-6012.7
-0.45	-0.175	-11459.8
-0.45	-0.15	-19539.2
-0.45	-0.125	-36751.5
-0.45	-0.1	-21950.4
-0.45	-0.075	-22686.8
-0.45	-0.05	-26511.9
-0.45	-0.025	-25588.9
-0.45	0	-20663.2
-0.45	0.025	-19599.5
-0.45	0.05	-11844.9
-0.45	0.075	-19183.3
-0.45	0.1	-13546.8
-0.45	0.125	-17858.2
-0.45	0.15	-9960.75
-0.45	0.175	-8199.72
-0.45	0.2	-16668.7
-0.45	0.225	4288.17
-0.45	0.25	12540.2
-0.45	0.275	7725.55
-0.45	0.3	13218.6
-0.45	0.325	14856.8
-0.45	0.35	20978.3
-0.45	0.375	3734.84
-0.45	0.4	2864.57
-0.45	0.425	-3147.17
-0.45	0.45	4319.8
-0.45	0.475	1323.59
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	-7058.53
-0.425	-0.45	5443.98
-0.425	-0.425	1871.13
-0.425	-0.4	219.547
-0.425	-0.375	711.03
-0.425	-0.35	-1890.03
