# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.7017e-05
-0.475	-0.45	9.38901e-05
-0.475	-0.425	0.000140663
-0.475	-0.4	0.000187026
-0.475	-0.375	0.000231939
-0.475	-0.35	0.000274138
-0.475	-0.325	0.000311685
-0.475	-0.3	0.000341472
-0.475	-0.275	0.000360045
-0.475	-0.25	0.000362825
-0.475	-0.225	0.000344809
-0.475	-0.2	0.000301252
-0.475	-0.175	0.000228626
-0.475	-0.15	0.000125861
-0.475	-0.125	-3.53369e-06
-0.475	-0.1	-0.000149664
-0.475	-0.075	-0.000295044
-0.475	-0.05	-0.000415154
-0.475	-0.025	-0.000482806
-0.475	0	-0.000475898
-0.475	0.025	-0.000386102
-0.475	0.05	-0.000223644
-0.475	0.075	-1.2779e-05
-0.475	0.1	0.000217279
-0.475	0.125	0.00043998
-0.475	0.15	0.000635777
-0.475	0.175	0.000792879
-0.475	0.2	0.000906176
-0.475	0.225	0.000975337
-0.475	0.25	0.00100311
-0.475	0.275	0.000993828
-0.475	0.3	0.000952562
-0.475	0.325	0.000884378
-0.475	0.35	0.000794054
-0.475	0.375	0.000685995
-0.475	0.4	0.000564046
-0.475	0.425	0.000431597
-0.475	0.45	0.00029171
-0.475	0.475	0.000147024
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.38901e-05
-0.45	-0.45	0.000187806
-0.45	-0.425	0.000281932
-0.45	-0.4	0.000375106
-0.45	-0.375	0.000466143
-0.45	-0.35	0.000552466
-0.45	-0.325	0.00062968
-0.45	-0.3	0.000692146
-0.45	-0.275	0.000732247
-0.45	-0.25	0.000740404
-0.45	-0.225	0.000705954
-0.45	-0.2	0.000618089
-0.45	-0.175	0.000467797
-0.45	-0.15	0.000250799
-0.45	-0.125	-2.78077e-05
-0.45	-0.1	-0.000349091
-0.45	-0.075	-0.000676163
-0.45	-0.05	-0.000954404
-0.45	-0.025	-0.00111946
-0.45	0	-0.00111608
-0.45	0.025	-0.000922627
-0.45	0.05	-0.000564775
-0.45	0.075	-0.000101944
-0.45	0.1	0.000397547
-0.45	0.125	0.000874831
-0.45	0.15	0.00128889
-0.45	0.175	0.00161693
-0.45	0.2	0.0018505
-0.45	0.225	0.00199094
-0.45	0.25	0.00204546
-0.45	0.275	0.002024
-0.45	0.3	0.0019375
-0.45	0.325	0.00179674
-0.45	0.35	0.00161166
-0.45	0.375	0.00139115
-0.45	0.4	0.00114307
-0.45	0.425	0.000874239
-0.45	0.45	0.000590676
-0.45	0.475	0.000297635
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000140663
