# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.69501e-05
-0.475	-0.45	9.38578e-05
-0.475	-0.425	0.000140742
-0.475	-0.4	0.000186772
-0.475	-0.375	0.000231688
-0.475	-0.35	0.000273948
-0.475	-0.325	0.00031128
-0.475	-0.3	0.000341378
-0.475	-0.275	0.000359773
-0.475	-0.25	0.000362661
-0.475	-0.225	0.000344813
-0.475	-0.2	0.000301081
-0.475	-0.175	0.000228745
-0.475	-0.15	0.000126149
-0.475	-0.125	-3.49975e-06
-0.475	-0.1	-0.000149791
-0.475	-0.075	-0.000294836
-0.475	-0.05	-0.000415261
-0.475	-0.025	-0.000482671
-0.475	0	-0.000475602
-0.475	0.025	-0.000386039
-0.475	0.05	-0.000223366
-0.475	0.075	-1.2417e-05
-0.475	0.1	0.000217849
-0.475	0.125	0.000440412
-0.475	0.15	0.000636144
-0.475	0.175	0.000793286
-0.475	0.2	0.00090646
-0.475	0.225	0.00097558
-0.475	0.25	0.00100323
-0.475	0.275	0.000993829
-0.475	0.3	0.000952426
-0.475	0.325	0.00088395
-0.475	0.35	0.000793981
-0.475	0.375	0.000685914
-0.475	0.4	0.000563924
-0.475	0.425	0.000431404
-0.475	0.45	0.000291449
-0.475	0.475	0.000147139
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.38578e-05
-0.45	-0.45	0.000187819
-0.45	-0.425	0.000281754
-0.45	-0.4	0.000374808
-0.45	-0.375	0.000465584
-0.45	-0.35	0.000551452
-0.45	-0.325	0.00062881
-0.45	-0.3	0.000691813
-0.45	-0.275	0.00073191
-0.45	-0.25	0.000740484
-0.45	-0.225	0.000706113
-0.45	-0.2	0.000618038
-0.45	-0.175	0.000467808
-0.45	-0.15	0.0002509
-0.45	-0.125	-2.77358e-05
-0.45	-0.1	-0.000348701
-0.45	-0.075	-0.000675552
-0.45	-0.05	-0.000954082
-0.45	-0.025	-0.00111906
-0.45	0	-0.00111595
-0.45	0.025	-0.000922343
-0.45	0.05	-0.000564331
-0.45	0.075	-0.000101619
-0.45	0.1	0.000397998
-0.45	0.125	0.000875176
-0.45	0.15	0.00128925
-0.45	0.175	0.00161728
-0.45	0.2	0.00185065
-0.45	0.225	0.00199106
-0.45	0.25	0.00204519
-0.45	0.275	0.00202377
-0.45	0.3	0.00193727
-0.45	0.325	0.00179671
-0.45	0.35	0.00161157
-0.45	0.375	0.00139119
-0.45	0.4	0.00114308
-0.45	0.425	0.000874018
-0.45	0.45	0.000590706
-0.45	0.475	0.000297691
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000140742
