# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.70536e-05
-0.475	-0.45	9.37851e-05
-0.475	-0.425	0.000140786
-0.475	-0.4	0.000186943
-0.475	-0.375	0.000232042
-0.475	-0.35	0.000274394
-0.475	-0.325	0.000311946
-0.475	-0.3	0.000341544
-0.475	-0.275	0.000359899
-0.475	-0.25	0.000362756
-0.475	-0.225	0.000344811
-0.475	-0.2	0.000301213
-0.475	-0.175	0.000228663
-0.475	-0.15	0.000125842
-0.475	-0.125	-3.82607e-06
-0.475	-0.1	-0.000150117
-0.475	-0.075	-0.000295346
-0.475	-0.05	-0.000415338
-0.475	-0.025	-0.000482867
-0.475	0	-0.000475863
-0.475	0.025	-0.000386081
-0.475	0.05	-0.000223388
-0.475	0.075	-1.25557e-05
-0.475	0.1	0.000217392
-0.475	0.125	0.000440051
-0.475	0.15	0.000635767
-0.475	0.175	0.000792873
-0.475	0.2	0.000906142
-0.475	0.225	0.000975382
-0.475	0.25	0.00100318
-0.475	0.275	0.000993911
-0.475	0.3	0.000952588
-0.475	0.325	0.000884329
-0.475	0.35	0.000794128
-0.475	0.375	0.000686159
-0.475	0.4	0.000564162
-0.475	0.425	0.000431645
-0.475	0.45	0.00029174
-0.475	0.475	0.00014693
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.37851e-05
-0.45	-0.45	0.000187791
-0.45	-0.425	0.000281795
-0.45	-0.4	0.000375133
-0.45	-0.375	0.000466641
-0.45	-0.35	0.000552766
-0.45	-0.325	0.000629705
-0.45	-0.3	0.00069199
-0.45	-0.275	0.000731946
-0.45	-0.25	0.000740332
-0.45	-0.225	0.00070593
-0.45	-0.2	0.000617839
-0.45	-0.175	0.000467487
-0.45	-0.15	0.000250628
-0.45	-0.125	-2.80621e-05
-0.45	-0.1	-0.00034953
-0.45	-0.075	-0.000676345
-0.45	-0.05	-0.000954352
-0.45	-0.025	-0.00111918
-0.45	0	-0.00111581
-0.45	0.025	-0.000922486
-0.45	0.05	-0.000564396
-0.45	0.075	-0.000101549
-0.45	0.1	0.00039761
-0.45	0.125	0.000874883
-0.45	0.15	0.00128885
-0.45	0.175	0.00161702
-0.45	0.2	0.00185052
-0.45	0.225	0.00199102
-0.45	0.25	0.00204551
-0.45	0.275	0.00202407
-0.45	0.3	0.00193748
-0.45	0.325	0.00179684
-0.45	0.35	0.00161194
-0.45	0.375	0.00139133
-0.45	0.4	0.00114319
-0.45	0.425	0.000874259
-0.45	0.45	0.000590595
-0.45	0.475	0.000297542
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.000140786
