# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.375	-0.3	0.00189194
-0.375	-0.275	0.00205537
-0.375	-0.25	0.00214086
-0.375	-0.225	0.0021074
-0.375	-0.2	0.0019038
-0.375	-0.175	0.00147074
-0.375	-0.15	0.00074695
-0.375	-0.125	-0.000317018
-0.375	-0.1	-0.00173195
-0.375	-0.075	-0.0034237
-0.375	-0.05	-0.00516737
-0.375	-0.025	-0.0065309
-0.375	0	-0.00693028
-0.375	0.025	-0.00598216
-0.375	0.05	-0.00407967
-0.375	0.075	-0.00181703
-0.375	0.1	0.000362728
-0.375	0.125	0.00222295
-0.375	0.15	0.00367716
-0.375	0.175	0.00472387
-0.375	0.2	0.00540113
-0.375	0.225	0.00576073
-0.375	0.25	0.00585531
-0.375	0.275	0.005733
-0.375	0.3	0.00543562
-0.375	0.325	0.00499868
-0.375	0.35	0.00445195
-0.375	0.375	0.00382024
-0.375	0.4	0.00312414
-0.375	0.425	0.00238075
-0.375	0.45	0.00160437
-0.375	0.475	0.000807202
-0.375	0.5	0

-0.35	-0.5	0
-0.35	-0.475	0.000275944
-0.35	-0.45	0.000555826
-0.35	-0.425	0.000843091
-0.35	-0.4	0.00113989
-0.35	-0.375	0.00144615
-0.35	-0.35	0.00175825
-0.35	-0.325	0.00206725
-0.35	-0.3	0.00235671
-0.35	-0.275	0.00259992
-0.35	-0.25	0.00275686
-0.35	-0.225	0.00277103
-0.35	-0.2	0.00256664
-0.35	-0.175	0.00204712
-0.35	-0.15	0.00109715
-0.35	-0.125	-0.000406537
-0.35	-0.1	-0.00256404
-0.35	-0.075	-0.00537825
-0.35	-0.05	-0.00860338
-0.35	-0.025	-0.011503
-0.35	0	-0.0126875
-0.35	0.025	-0.0108075
-0.35	0.05	-0.00722361
-0.35	0.075	-0.00333736
-0.35	0.1	0.00010139
-0.35	0.125	0.00283184
-0.35	0.15	0.00484055
-0.35	0.175	0.00621083
-0.35	0.2	0.00704995
-0.35	0.225	0.00745969
-0.35	0.25	0.00752706
-0.35	0.275	0.00732341
-0.35	0.3	0.00690648
-0.35	0.325	0.00632287
-0.35	0.35	0.00561037
-0.35	0.375	0.0047996
-0.35	0.4	0.00391548
-0.35	0.425	0.00297822
-0.35	0.45	0.00200435
-0.35	0.475	0.00100764
-0.35	0.5	0

-0.325	-0.5	0
-0.325	-0.475	0.000313614
-0.325	-0.45	0.000633432
-0.325	-0.425	0.000965271
-0.325	-0.4	0.0013138
-0.325	-0.375	0.00168154
-0.325	-0.35	0.00206725
-0.325	-0.325	0.00246371
-0.325	-0.3	0.00285445
-0.325	-0.275	0.00320968
-0.325	-0.25	0.00348101
-0.325	-0.225	0.0035953
-0.325	-0.2	0.00344722
-0.325	-0.175	0.00289063
-0.325	-0.15	0.00172906
-0.325	-0.125	-0.000291102
-0.325	-0.1	-0.00347128
-0.325	-0.075	-0.00809198
-0.325	-0.05	-0.0141654
-0.325	-0.025	-0.0207458
-0.325	0	-0.024557
-0.325	0.025	-0.0198827
-0.325	0.05	-0.0124511
-0.325	0.075	-0.00555138
-0.325	0.1	-0.000145257
-0.325	0.125	0.00376075
-0.325	0.15	0.00642565
-0.325	0.175	0.00812789
-0.325	0.2	0.00909855
-0.325	0.225	0.0095146
-0.325	0.25	0.00950826
-0.325	0.275	0.00917847
-0.325	0.3	0.00860032
-0.325	0.325	0.00783196
