-3.03104,0.00408256
-3.015,0.0125522
-3.00293,0.0180778
-2.9911,0.0227732
-2.97912,0.027756
-2.96831,0.0336513
-2.96083,0.0392815
-2.94135,0.0462232
-2.92869,0.0497894
-2.91401,0.0567091
-2.91049,0.0610889
-2.90141,0.066522
-2.89765,0.0718221
-2.88588,0.0780995
-2.86688,0.0846988
-2.87103,0.0875685
-2.85018,0.0941801
-2.82581,0.101878
-2.81296,0.104927
-2.7981,0.108306
-2.77291,0.118395
-2.7727,0.123311
-2.7742,0.127988
-2.7698,0.130542
-2.74546,0.139752
-2.73559,0.144047
-2.73481,0.150761
-2.72801,0.152503
-2.71863,0.158412
-2.67556,0.16834
-2.65661,0.173498
-2.62653,0.177425
-2.62352,0.180511
-2.62185,0.187219
-2.63005,0.191939
-2.62185,0.200586
-2.61767,0.206933
-2.61942,0.210364
-2.61626,0.212682
-2.58165,0.2187
-2.55917,0.225038
-2.51761,0.236225
-2.49004,0.236681
-2.4731,0.241923
-2.43808,0.246427
-2.41035,0.252379
-2.37925,0.264132
-2.41333,0.265812
-2.42274,0.269097
-2.41204,0.278972
-2.40721,0.282402
-2.40851,0.282998
-2.39214,0.290795
-2.3776,0.299789
-2.34444,0.303441
-2.31769,0.309627
-2.25725,0.318839
-2.25093,0.314987
-2.20297,0.323347
-2.16112,0.333647
-2.13255,0.337554
-2.11581,0.346671
-2.12968,0.343395
-2.13982,0.351493
-2.13573,0.35993
-2.10742,0.367406
-2.13303,0.369361
-2.10136,0.376826
-2.13436,0.372622
-2.1068,0.384802
-2.09776,0.390363
-2.0467,0.401604
-2.01887,0.404275
-1.95964,0.410245
-1.94531,0.407063
-1.90523,0.417101
-1.8594,0.427189
-1.82213,0.429992
-1.76323,0.436998
-1.75275,0.437676
-1.70943,0.451361
-1.68325,0.454232
-1.6676,0.453374
-1.6289,0.463291
-1.57018,0.473236
-1.51541,0.473666
-1.49878,0.473533
-1.43139,0.489153
-1.40227,0.493943
-1.40876,0.497002
-1.40221,0.495704
-1.3742,0.505762
-1.33444,0.512062
-1.30125,0.516119
-1.25373,0.530571
-1.22184,0.532764
-1.22295,0.529474
-1.20097,0.541227
-1.18037,0.545567
-1.15003,0.55078
-1.12619,0.553509
-1.1088,0.563559
-1.0894,0.567931
-1.06907,0.567565
-1.03401,0.578084
-1.01189,0.583409
-0.991635,0.593911
-0.991226,0.595358
-0.977714,0.602262
-0.955594,0.602871
-0.922623,0.613968
-0.925319,0.614237
-0.901611,0.622233
-0.857294,0.62635
-0.828646,0.634018
-0.821759,0.635135
-0.805386,0.64485
-0.789381,0.648314
-0.751502,0.6591
-0.720232,0.662863
-0.677902,0.669404
-0.657042,0.675538
-0.629559,0.6769
-0.632725,0.683204
-0.602096,0.688676
-0.584879,0.689569
-0.558853,0.699377
-0.557168,0.705746
-0.571666,0.708416
-0.540475,0.710122
-0.513635,0.717166
-0.474072,0.736477
-0.462439,0.733743
-0.479966,0.734135
-0.481902,0.745216
-0.462524,0.750024
-0.418261,0.755382
-0.372368,0.762084
-0.359768,0.767587
-0.365381,0.769663
-0.332958,0.779322
-0.305329,0.782418
-0.293,0.786533
-0.301092,0.787189
-0.302733,0.796092
-0.281238,0.80689
-0.280889,0.81117
-0.262435,0.811266
-0.229757,0.811985
-0.186939,0.824696
-0.136874,0.833443
-0.115701,0.835925
-0.0982,0.849068
-0.0981962,0.84608
-0.0670365,0.856095
-0.045007,0.861101
-0.0177216,0.869068
-0.0349897,0.867125
-0.00795591,0.876596
0.00145791,0.876907
0.0408292,0.888764
0.0495382,0.893924
0.0544531,0.896874
0.0771891,0.902228
0.0897224,0.908615
0.104207,0.915196
0.121682,0.916111
0.129242,0.921834
0.119896,0.928102
0.145637,0.934417
0.167022,0.937911
0.219702,0.949787
0.213381,0.953209
0.197666,0.959761
0.206147,0.966698
0.214427,0.962382
0.260004,0.977127
0.257286,0.979349
0.264467,0.989112
0.285874,0.994193
0.284539,0.998516
0.314873,1.00192
0.334157,1.00856
0.327796,1.01278
0.357148,1.02155
0.379427,1.02837
0.414148,1.03697
0.422686,1.03651
0.438544,1.04248
0.428507,1.0433
0.432158,1.04971
0.446987,1.05621
0.476734,1.05955
0.490096,1.06972
0.478194,1.07069
0.491443,1.08201
0.492152,1.07696
0.502261,1.08898
0.517517,1.09566
0.539458,1.10395
0.555797,1.10687
0.567197,1.1144
0.557634,1.11359
0.535099,1.11744
0.564232,1.12895
0.585326,1.12884
0.612124,1.14281
0.598131,1.1456
0.605834,1.15055
0.616597,1.15545
0.634203,1.16063
0.637657,1.16442
0.639197,1.17244
0.658213,1.18015
0.686774,1.18538
0.704642,1.1891
0.701883,1.1978
0.697988,1.19878
0.712851,1.21106
0.70008,1.2145
0.708873,1.21514
0.701425,1.21979
0.689022,1.22079
0.718976,1.23104
0.718132,1.23461
0.739565,1.24258
0.753029,1.24422
0.760441,1.25356
0.772341,1.26154
0.783198,1.26587
0.771595,1.27174
0.774285,1.27879
0.776897,1.28561
0.796221,1.28549
0.836134,1.29589
0.850616,1.29537
0.844086,1.30474
0.838857,1.30602
0.842742,1.31881
0.832216,1.32314
0.845653,1.32738
0.843958,1.3284
0.861108,1.34199
0.875604,1.34713
0.863934,1.34374
0.902391,1.36126
0.893333,1.35919
0.899452,1.3581
0.931527,1.37346
0.932646,1.37789
0.931286,1.37885
0.938031,1.38417
0.951502,1.39402
0.966466,1.39746
0.994304,1.40993
0.979135,1.40514
0.97914,1.41419
1.00779,1.42182
1.00657,1.42246
1.02194,1.4308
1.02725,1.44045
1.02062,1.43779
1.03694,1.45331
1.0661,1.45768
1.05453,1.44999
1.05977,1.47297
1.04679,1.47216
1.06398,1.47702
1.08965,1.4814
1.08032,1.48801
1.08077,1.49605
1.09471,1.50156
1.09297,1.50227
1.09529,1.51429
1.11136,1.51285
1.13324,1.51839
1.14233,1.52591
1.17185,1.53506
1.18066,1.54103
1.16258,1.54256
1.18383,1.54562
1.18575,1.55385
1.17546,1.56276
1.1758,1.56172
1.20159,1.5684
1.2285,1.58039
1.23488,1.57479
1.21408,1.58245
1.21699,1.58838
1.22511,1.58986
1.25006,1.6021
1.23938,1.6034
1.23173,1.60828
1.24944,1.62125
1.22651,1.62006
1.23224,1.62436
1.26055,1.63462
1.27164,1.64062
1.24698,1.64393
