step,msd
434,0.204719
435,0.202276
436,0.204035
437,0.202424
438,0.201953
439,0.194617
440,0.189232
441,0.187259
442,0.18519
443,0.193651
444,0.196147
445,0.193958
446,0.189699
447,0.191665
448,0.185665
449,0.187563
450,0.184045
451,0.189723
452,0.184656
453,0.186224
454,0.184671
455,0.17841
456,0.173724
457,0.173105
458,0.172104
459,0.163293
460,0.169518
461,0.165256
462,0.163683
463,0.170326
464,0.166271
465,0.173257
466,0.174511
467,0.175528
468,0.180695
469,0.183064
470,0.185079
471,0.182883
472,0.188558
473,0.188455
474,0.184112
475,0.187181
476,0.191848
477,0.194125
478,0.194845
479,0.195265
480,0.183678
481,0.180431
482,0.173915
483,0.175007
484,0.17327
485,0.176583
486,0.181862
487,0.17513
488,0.172464
489,0.176385
490,0.176912
491,0.1763
492,0.184402
493,0.186712
494,0.186678
495,0.187307
496,0.189962
497,0.190129
498,0.190211
499,0.190702
500,0.19057
501,0.197428
502,0.19446
503,0.195102
504,0.194699
505,0.186233
506,0.186958
507,0.19087
508,0.178685
509,0.175821
510,0.177239
511,0.177206
512,0.17883
513,0.174362
514,0.179776
515,0.176643
516,0.176205
517,0.176821
518,0.176128
519,0.169448
520,0.163837
521,0.161726
522,0.167207
523,0.167647
524,0.169885
525,0.168074
526,0.166413
527,0.16093
528,0.165579
529,0.170635
530,0.167976
531,0.164478
532,0.166249
533,0.166199
534,0.166602
535,0.168386
536,0.172638
537,0.170386
538,0.168434
539,0.17107
540,0.16773
541,0.168562
542,0.165515
543,0.164462
544,0.153665
545,0.153954
546,0.149719
547,0.14625
548,0.145425
549,0.145707
550,0.147422
551,0.150965
552,0.151495
553,0.142983
554,0.141466
555,0.145223
556,0.147216
557,0.152243
558,0.155133
559,0.155792
560,0.155391
561,0.159248
562,0.161438
563,0.159899
564,0.163862
565,0.168592
566,0.171994
567,0.168549
568,0.170584
569,0.178989
570,0.179675
571,0.179871
572,0.175318
573,0.173087
574,0.177282
575,0.178921
576,0.180756
577,0.181349
578,0.18323
579,0.190465
580,0.188026
581,0.179941
582,0.180575
583,0.180888
584,0.177915
585,0.175926
586,0.178346
587,0.180559
588,0.169161
589,0.164358
590,0.164313
591,0.162547
592,0.164869
593,0.173961
594,0.179349
595,0.176932
596,0.169947
597,0.168816
598,0.171327
599,0.167925
600,0.166915
601,0.171159
602,0.175595
603,0.180107
604,0.17512
605,0.174754
606,0.17714
607,0.183339
608,0.18606
609,0.178099
610,0.179751
611,0.180978
612,0.178863
613,0.176438
614,0.172757
615,0.167869
616,0.17047
617,0.168616
618,0.172655
619,0.170675
620,0.167723
621,0.165782
622,0.171988
623,0.165216
624,0.164337
625,0.165017
626,0.16256
627,0.161215
628,0.159131
629,0.159407
630,0.159581
631,0.160646
632,0.164877
633,0.167637
634,0.174678
635,0.169606
636,0.164333
637,0.165303
638,0.163911
639,0.166942
640,0.159626
641,0.15421
642,0.154971
643,0.159086
644,0.156459
645,0.156593
646,0.161737
647,0.163595
648,0.160205
649,0.156299
650,0.160117
651,0.162961
652,0.1564
653,0.153965
654,0.151179
655,0.143035
656,0.136435
657,0.138906
658,0.13602
659,0.136242
660,0.141309
661,0.148396
662,0.143909
663,0.143104
664,0.14919
665,0.15035
666,0.148069
667,0.150438
668,0.150608
669,0.150497
670,0.147966
671,0.154516
672,0.153349
673,0.150301
674,0.147551
675,0.140542
676,0.135415
677,0.139021
678,0.137181
679,0.132654
680,0.136238
681,0.14267
682,0.146655
683,0.147941
684,0.145653
685,0.144679
686,0.141321
687,0.144531
688,0.142899
689,0.144027
690,0.148385
691,0.149118
692,0.15184
693,0.156821
694,0.156217
695,0.154818
696,0.149825
697,0.151494
698,0.152745
699,0.149457
700,0.152317
701,0.149412
702,0.156686
703,0.165232
704,0.167056
705,0.164825
706,0.166397
707,0.166327
708,0.162769
709,0.163744
710,0.166123
711,0.16276
712,0.159897
713,0.167852
714,0.175799
715,0.175702
716,0.176577
717,0.173069
718,0.17427
719,0.172461
720,0.172489
721,0.172932
722,0.175398
723,0.170867
724,0.172758
725,0.176006
726,0.172364
727,0.176561
728,0.18066
729,0.18184
730,0.180881
731,0.179791
732,0.181563
733,0.180943
734,0.180368
735,0.173229
736,0.176977
737,0.179493
738,0.182057
739,0.177671
740,0.178828
741,0.181989
742,0.185202
743,0.188651
744,0.188362
745,0.185644
746,0.188594
747,0.188918
748,0.186171
749,0.191679
750,0.196424
751,0.194094
752,0.205069
753,0.200832
754,0.205684
755,0.208899
756,0.205922
757,0.2088
758,0.210956
759,0.208287
760,0.209844
761,0.212482
762,0.213128
763,0.209958
764,0.215715
765,0.212448
766,0.217524
767,0.214537
768,0.215842
769,0.21176
770,0.213991
771,0.20625
772,0.207517
773,0.207977
774,0.210761
775,0.20711
776,0.210783
777,0.206636
778,0.212242
779,0.207372
780,0.201309
781,0.209768
782,0.212778
783,0.211663
784,0.218123
785,0.213739
786,0.209618
787,0.203862
788,0.210686
789,0.210038
790,0.216736
791,0.212055
792,0.21396
793,0.209495
794,0.202577
795,0.199764
796,0.197439
797,0.198955
798,0.19633
799,0.191006
800,0.190091
801,0.189192
802,0.188814
803,0.185443
804,0.186125
805,0.185352
806,0.186348
807,0.192488
808,0.195394
809,0.199699
810,0.19835
811,0.207074
812,0.209563
813,0.20799
814,0.204461
815,0.203605
816,0.211186
817,0.206249
818,0.207011
819,0.198974
820,0.203825
821,0.203069
822,0.19924
823,0.19671
824,0.198918
825,0.20131
826,0.199641
827,0.202257
828,0.208235
829,0.202431
830,0.204135
831,0.210352
832,0.219031
833,0.219437
834,0.213384
835,0.216438
836,0.214235
837,0.219591
838,0.214662
839,0.216156
840,0.209755
841,0.207133
842,0.21085
843,0.21046
844,0.212073
845,0.217176
846,0.211724
847,0.209485
848,0.211242
849,0.21438
850,0.213255
851,0.210808
852,0.218911
853,0.219996
854,0.222173
855,0.224956
856,0.222672
857,0.22312
858,0.216877
859,0.218178
860,0.220195
861,0.219457
862,0.215311
863,0.220261
864,0.225409
865,0.225866
866,0.221142
867,0.221222
868,0.223998
869,0.222909
870,0.226926
871,0.22766
872,0.231404
873,0.231316
874,0.225193
875,0.227602
876,0.230843
877,0.232231
878,0.2336
879,0.233041
880,0.232021
881,0.227429
882,0.233465
883,0.233097
884,0.235857
885,0.233901
886,0.229332
887,0.234691
888,0.23652
889,0.232827
890,0.228844
891,0.225953
892,0.231092
893,0.231573
894,0.236688
895,0.239755
896,0.23375
897,0.232687
898,0.233391
899,0.233103
900,0.235441
901,0.232379
902,0.232035
903,0.231313
904,0.222452
905,0.223545
906,0.220709
907,0.224077
908,0.22557
909,0.228348
910,0.229624
911,0.234347
912,0.227712
913,0.223679
914,0.227575
915,0.234539
916,0.220932
917,0.222878
918,0.219397
919,0.22077
920,0.223644
921,0.223697
922,0.225231
923,0.224886
924,0.22915
925,0.236588
926,0.239684
927,0.233507
928,0.23208
929,0.230184
930,0.228487
931,0.224966
932,0.222983
933,0.225838
934,0.220952
935,0.219554
936,0.219054
937,0.214621
938,0.212403
939,0.207039
940,0.207028
941,0.214807
942,0.211292
943,0.214592
944,0.216024
945,0.217812
946,0.216912
947,0.221536
948,0.22208
949,0.228724
950,0.224796
951,0.223924
952,0.219974
953,0.221406
954,0.220442
955,0.215286
956,0.224287
957,0.216896
958,0.221537
959,0.227217
960,0.226729
961,0.222354
962,0.224518
963,0.227177
964,0.221971
965,0.223492
966,0.221353
967,0.216189
968,0.214857
969,0.217547
970,0.219876
971,0.218849
972,0.218716
973,0.225711
974,0.234671
975,0.234075
976,0.228656
977,0.230307
978,0.237526
979,0.229886
980,0.228055
981,0.230666
982,0.226857
983,0.236262
984,0.236945
985,0.240184
986,0.240549
987,0.237541
988,0.244643
989,0.248989
990,0.249427
991,0.255926
992,0.251271
993,0.249237
994,0.250173
995,0.24895
996,0.24772
997,0.245417
998,0.241729
999,0.237909
