time,object,x,y,z
0.1013,Sun,-0.00695399,-0.000127733,0
0.1013,Earth,0.805479,0.594554,0
0.1013,Jupiter,-5.19271,-0.278934,0
0.104038,Sun,-0.00734041,-0.000138384,0
0.104038,Earth,0.795066,0.608324,0
0.104038,Jupiter,-5.19231,-0.286465,0
0.106776,Sun,-0.00773727,-0.000149613,0
0.106776,Earth,0.784413,0.621916,0
0.106776,Jupiter,-5.19189,-0.293996,0
0.109514,Sun,-0.00814459,-0.000161433,0
0.109514,Earth,0.773523,0.635328,0
0.109514,Jupiter,-5.19146,-0.301526,0
0.112252,Sun,-0.00856237,-0.00017386,0
0.112252,Earth,0.762399,0.648554,0
0.112252,Jupiter,-5.19102,-0.309055,0
0.11499,Sun,-0.00899059,-0.00018691,0
0.11499,Earth,0.751045,0.661591,0
0.11499,Jupiter,-5.19058,-0.316584,0
0.117728,Sun,-0.00942928,-0.000200598,0
0.117728,Earth,0.739462,0.674436,0
0.117728,Jupiter,-5.19012,-0.324112,0
0.120465,Sun,-0.00987842,-0.000214939,0
0.120465,Earth,0.727656,0.687084,0
0.120465,Jupiter,-5.18964,-0.331639,0
0.123203,Sun,-0.010338,-0.000229949,0
0.123203,Earth,0.715629,0.699533,0
0.123203,Jupiter,-5.18916,-0.339166,0
0.125941,Sun,-0.0108081,-0.000245643,0
0.125941,Earth,0.703385,0.711778,0
0.125941,Jupiter,-5.18867,-0.346692,0
0.128679,Sun,-0.0112886,-0.000262036,0
0.128679,Earth,0.690927,0.723817,0
0.128679,Jupiter,-5.18817,-0.354217,0
0.131417,Sun,-0.0117796,-0.000279143,0
0.131417,Earth,0.678259,0.735645,0
0.131417,Jupiter,-5.18765,-0.361741,0
0.134155,Sun,-0.012281,-0.00029698,0
0.134155,Earth,0.665384,0.74726,0
0.134155,Jupiter,-5.18713,-0.369265,0
0.136893,Sun,-0.0127929,-0.000315563,0
0.136893,Earth,0.652306,0.758657,0
0.136893,Jupiter,-5.18659,-0.376788,0
0.13963,Sun,-0.0133153,-0.000334907,0
0.13963,Earth,0.639028,0.769835,0
0.13963,Jupiter,-5.18604,-0.38431,0
0.142368,Sun,-0.0138481,-0.000355026,0
0.142368,Earth,0.625555,0.78079,0
0.142368,Jupiter,-5.18548,-0.391831,0
0.145106,Sun,-0.0143914,-0.000375937,0
0.145106,Earth,0.611891,0.791518,0
0.145106,Jupiter,-5.18491,-0.399352,0
0.147844,Sun,-0.0149451,-0.000397655,0
0.147844,Earth,0.598038,0.802017,0
0.147844,Jupiter,-5.18433,-0.406871,0
0.150582,Sun,-0.0155093,-0.000420195,0
0.150582,Earth,0.584001,0.812283,0
0.150582,Jupiter,-5.18374,-0.41439,0
0.15332,Sun,-0.016084,-0.000443574,0
0.15332,Earth,0.569784,0.822315,0
0.15332,Jupiter,-5.18314,-0.421908,0
0.156057,Sun,-0.0166692,-0.000467805,0
0.156057,Earth,0.555391,0.832108,0
0.156057,Jupiter,-5.18253,-0.429425,0
0.158795,Sun,-0.0172648,-0.000492905,0
0.158795,Earth,0.540825,0.841661,0
0.158795,Jupiter,-5.1819,-0.436941,0
0.161533,Sun,-0.0178709,-0.000518889,0
0.161533,Earth,0.526092,0.85097,0
0.161533,Jupiter,-5.18127,-0.444456,0
0.164271,Sun,-0.0184875,-0.000545773,0
0.164271,Earth,0.511194,0.860033,0
0.164271,Jupiter,-5.18062,-0.45197,0
0.167009,Sun,-0.0191145,-0.000573572,0
0.167009,Earth,0.496136,0.868848,0
0.167009,Jupiter,-5.17996,-0.459483,0
0.169747,Sun,-0.019752,-0.000602302,0
0.169747,Earth,0.480923,0.877411,0
0.169747,Jupiter,-5.17929,-0.466995,0
0.172485,Sun,-0.0204,-0.000631978,0
0.172485,Earth,0.465558,0.885721,0
0.172485,Jupiter,-5.17861,-0.474507,0
0.175222,Sun,-0.0210585,-0.000662616,0
0.175222,Earth,0.450045,0.893774,0
0.175222,Jupiter,-5.17792,-0.482017,0
0.17796,Sun,-0.0217275,-0.000694232,0
0.17796,Earth,0.43439,0.90157,0
0.17796,Jupiter,-5.17722,-0.489526,0
0.180698,Sun,-0.0224069,-0.00072684,0
0.180698,Earth,0.418595,0.909105,0
0.180698,Jupiter,-5.17651,-0.497034,0
0.183436,Sun,-0.0230968,-0.000760456,0
0.183436,Earth,0.402666,0.916378,0
0.183436,Jupiter,-5.17579,-0.504541,0
0.186174,Sun,-0.0237972,-0.000795097,0
0.186174,Earth,0.386607,0.923386,0
0.186174,Jupiter,-5.17505,-0.512047,0
0.188912,Sun,-0.0245081,-0.000830777,0
0.188912,Earth,0.370423,0.930127,0
0.188912,Jupiter,-5.17431,-0.519552,0
0.19165,Sun,-0.0252294,-0.000867513,0
0.19165,Earth,0.354116,0.9366,0
0.19165,Jupiter,-5.17355,-0.527056,0
0.194387,Sun,-0.0259613,-0.00090532,0
0.194387,Earth,0.337694,0.942802,0
0.194387,Jupiter,-5.17278,-0.534559,0
0.197125,Sun,-0.0267036,-0.000944213,0
0.197125,Earth,0.321158,0.948733,0
0.197125,Jupiter,-5.17201,-0.54206,0
0.199863,Sun,-0.0274564,-0.000984209,0
0.199863,Earth,0.304515,0.954389,0
0.199863,Jupiter,-5.17122,-0.549561,0
0.202601,Sun,-0.0282197,-0.00102532,0
0.202601,Earth,0.287768,0.95977,0
0.202601,Jupiter,-5.17042,-0.55706,0
0.205339,Sun,-0.0289935,-0.00106757,0
0.205339,Earth,0.270923,0.964873,0
0.205339,Jupiter,-5.16961,-0.564558,0
0.208077,Sun,-0.0297778,-0.00111097,0
0.208077,Earth,0.253983,0.969698,0
0.208077,Jupiter,-5.16878,-0.572055,0
0.210815,Sun,-0.0305726,-0.00115553,0
0.210815,Earth,0.236953,0.974243,0
0.210815,Jupiter,-5.16795,-0.579551,0
0.213552,Sun,-0.0313779,-0.00120127,0
0.213552,Earth,0.219839,0.978506,0
0.213552,Jupiter,-5.16711,-0.587045,0
0.21629,Sun,-0.0321937,-0.00124821,0
0.21629,Earth,0.202644,0.982487,0
0.21629,Jupiter,-5.16625,-0.594538,0
0.219028,Sun,-0.03302,-0.00129636,0
0.219028,Earth,0.185373,0.986183,0
0.219028,Jupiter,-5.16539,-0.60203,0
0.221766,Sun,-0.0338568,-0.00134574,0
0.221766,Earth,0.168031,0.989595,0
0.221766,Jupiter,-5.16451,-0.609521,0
0.224504,Sun,-0.0347041,-0.00139637,0
0.224504,Earth,0.150622,0.99272,0
0.224504,Jupiter,-5.16362,-0.61701,0
0.227242,Sun,-0.0355619,-0.00144825,0
0.227242,Earth,0.133152,0.995559,0
0.227242,Jupiter,-5.16272,-0.624498,0
0.229979,Sun,-0.0364302,-0.00150141,0
0.229979,Earth,0.115624,0.998109,0
0.229979,Jupiter,-5.16181,-0.631984,0
0.232717,Sun,-0.037309,-0.00155586,0
0.232717,Earth,0.0980445,1.00037,0
0.232717,Jupiter,-5.16089,-0.63947,0
0.235455,Sun,-0.0381983,-0.00161162,0
0.235455,Earth,0.0804171,1.00234,0
0.235455,Jupiter,-5.15996,-0.646954,0
0.238193,Sun,-0.0390981,-0.0016687,0
0.238193,Earth,0.0627467,1.00402,0
0.238193,Jupiter,-5.15901,-0.654436,0
0.240931,Sun,-0.0400084,-0.00172713,0
0.240931,Earth,0.0450383,1.00541,0
0.240931,Jupiter,-5.15806,-0.661917,0
0.243669,Sun,-0.0409293,-0.0017869,0
0.243669,Earth,0.0272964,1.00651,0
0.243669,Jupiter,-5.15709,-0.669397,0
0.246407,Sun,-0.0418607,-0.00184805,0
0.246407,Earth,0.0095259,1.00732,0
0.246407,Jupiter,-5.15612,-0.676875,0
0.249144,Sun,-0.0428025,-0.00191059,0
0.249144,Earth,-0.00826841,1.00783,0
0.249144,Jupiter,-5.15513,-0.684352,0
0.251882,Sun,-0.0437549,-0.00197453,0
0.251882,Earth,-0.0260818,1.00806,0
0.251882,Jupiter,-5.15413,-0.691827,0
0.25462,Sun,-0.0447179,-0.00203989,0
0.25462,Earth,-0.0439094,1.00798,0
0.25462,Jupiter,-5.15312,-0.699301,0
0.257358,Sun,-0.0456913,-0.00210668,0
0.257358,Earth,-0.0617465,1.00762,0
0.257358,Jupiter,-5.1521,-0.706773,0
0.260096,Sun,-0.0466753,-0.00217493,0
0.260096,Earth,-0.0795882,1.00696,0
0.260096,Jupiter,-5.15107,-0.714244,0
