Temperature,Magnetization,Chi
2.26,0.140951,0.572498
2.27,0.107386,0.336202
2.28,0.07013,0.136601
2.29,0.0775238,0.126667
2.3,0.0709775,0.0894435
2.31,0.101716,0.351126
2.32,0.0852113,0.107862
2.33,0.0546475,0.0832887
2.34,0.0854675,0.11215
2.35,0.0431813,0.038399
2.36,0.0573412,0.082062
2.37,0.0503662,0.0565656
2.38,0.0543937,0.0417741
2.39,0.0503262,0.0479145
2.4,0.0412688,0.0303456
2.41,0.0504637,0.0460635
2.42,0.0479887,0.0482468
2.43,0.0471913,0.0546461
2.44,0.03916,0.032148
2.45,0.0393812,0.0332676
2.46,0.03931,0.0320791
2.47,0.041655,0.0336907
2.48,0.051805,0.0547914
2.49,0.0358375,0.0307177
2.5,0.03755,0.0355913
2.51,0.0340963,0.0203442
2.52,0.0451462,0.0412136
2.53,0.0369825,0.0321701
2.54,0.04103,0.0409949
2.55,0.0393063,0.0334453
2.56,0.0420962,0.0349836
2.57,0.03219,0.0188347
2.58,0.0319113,0.02362
2.59,0.032445,0.0297959
2.6,0.0337888,0.0215511
2.61,0.0259138,0.0158839
2.62,0.0296225,0.0187251
2.63,0.0293725,0.0192695
2.64,0.0289063,0.0203109
2.65,0.0286187,0.017347
2.66,0.0327038,0.0207816
2.67,0.032715,0.0217405
2.68,0.0252437,0.0156008
2.69,0.0278837,0.0150337
2.7,0.0268,0.0135455
2.71,0.0326225,0.0210066
2.72,0.0260025,0.0138284
2.73,0.0257163,0.0119318
2.74,0.034395,0.0234269
2.75,0.02864,0.0202713
2.76,0.0274488,0.0147783
2.77,0.0254863,0.0131478
2.78,0.0252963,0.0144634
2.79,0.0228238,0.0107089
2.8,0.0259425,0.0155977
2.81,0.0249612,0.0122139
2.82,0.0266925,0.0153538
2.83,0.02473,0.0123176
2.84,0.0240725,0.0116698
2.85,0.0235687,0.011766
2.86,0.0254387,0.0109391
2.87,0.025215,0.0110724
2.88,0.0204838,0.00934731
2.89,0.02354,0.0110291
2.9,0.0228425,0.00972399
2.91,0.021985,0.00853197
2.92,0.02185,0.00895469
2.93,0.0240013,0.0103241
2.94,0.022345,0.010559
2.95,0.0220838,0.00880397
2.96,0.021755,0.010233
2.97,0.02076,0.00799061
2.98,0.0239012,0.0110658
2.99,0.0216725,0.00862229
3,0.0206962,0.00872504
3.01,0.0205888,0.00673484
3.02,0.0204912,0.00883449
3.03,0.0207188,0.00742741
3.04,0.0206762,0.00763244
3.05,0.0200662,0.00821534
3.06,0.020465,0.00763922
3.07,0.0193925,0.00692886
3.08,0.020735,0.00726259
3.09,0.0206663,0.00749307
3.1,0.019045,0.00768802
3.11,0.0195938,0.00670226
3.12,0.0210062,0.00863426
3.13,0.0190388,0.00598007
3.14,0.0184237,0.00668173
3.15,0.0213188,0.00719692
3.16,0.0199213,0.0074525
3.17,0.021025,0.00827401
3.18,0.0170375,0.0051316
3.19,0.0189125,0.00684931
3.2,0.0209125,0.00696248
3.21,0.0180712,0.00616712
3.22,0.0207575,0.00617228
3.23,0.0190562,0.00604376
3.24,0.020395,0.00639353
3.25,0.0175162,0.00556566
3.26,0.0218262,0.00716036
3.27,0.0187812,0.00609851
3.28,0.0199987,0.00505098
3.29,0.0169012,0.00595629
3.3,0.0201288,0.00639087
3.31,0.0190512,0.0063467
3.32,0.0184512,0.00505361
3.33,0.0185925,0.00480719
3.34,0.0189412,0.00534205
3.35,0.017345,0.00563445
3.36,0.0192688,0.00646564
3.37,0.01942,0.0057903
3.38,0.01923,0.0064324
3.39,0.0176213,0.00635536
3.4,0.01857,0.00501941
3.41,0.017165,0.00472961
3.42,0.0175237,0.00505332
3.43,0.0167825,0.00483027
3.44,0.018675,0.00495142
3.45,0.0179612,0.00503567
3.46,0.016485,0.00477479
3.47,0.017835,0.00518259
3.48,0.0194138,0.00485804
3.49,0.01824,0.00440988
3.5,0.0188812,0.00587587
3.51,0.017305,0.0044776
3.52,0.017115,0.00507084
3.53,0.0157075,0.00477566
3.54,0.0164188,0.00414341
3.55,0.0181588,0.00528263
3.56,0.0172675,0.0046288
3.57,0.0168825,0.00519755
3.58,0.015355,0.0039712
3.59,0.0155062,0.00335866
3.6,0.0169362,0.00403203
3.61,0.0160412,0.00390367
3.62,0.0177363,0.00457007
3.63,0.0158075,0.00335996
3.64,0.0167225,0.00458533
3.65,0.0163875,0.00387053
3.66,0.01737,0.00484636
3.67,0.0176838,0.00459691
3.68,0.0161987,0.00393078
3.69,0.0149175,0.0035175
3.7,0.0164862,0.00412816
3.71,0.0157262,0.00391221
3.72,0.0157125,0.00404798
3.73,0.01806,0.00382686
3.74,0.0158313,0.00377316
3.75,0.015575,0.00437252
3.76,0.016205,0.00367694
3.77,0.0151575,0.00379763
3.78,0.0169738,0.00493193
3.79,0.0159913,0.00354239
3.8,0.0161575,0.00361879
3.81,0.018165,0.00403378
3.82,0.0151512,0.00295816
3.83,0.0167038,0.00403533
3.84,0.0164662,0.00352366
3.85,0.0150062,0.00359786
3.86,0.0164063,0.0034588
3.87,0.0152112,0.00358907
3.88,0.0146775,0.00317005
3.89,0.0159975,0.00304865
3.9,0.014965,0.00343458
3.91,0.0151125,0.00364244
3.92,0.0149888,0.00331775
3.93,0.015905,0.00337262
3.94,0.0160912,0.00331823
3.95,0.0155325,0.00337999
3.96,0.013935,0.00316159
3.97,0.0162575,0.00335604
3.98,0.0169737,0.00420115
3.99,0.0165662,0.00410779
4,0.015625,0.00338461
